,StudentID,FullName,Data Structure Marks,Algorithm Marks,Python Marks,CompletionStatus,EnrollmentDate,Instructor,Location,Country,Total Marks,A+ in DS,Passes in DS,First Name
0,PH1001,Amena Islam,69.7,68.5,90.2,Completed,2024-01-24,Mr. Haque,Rangpur,Bangladesh,228.39999999999998,A,False,Amena
1,PH1002,Kamal Akhter,65.9,71.8,87.1,Completed,2024-02-07,Ms. Salma,Mymensingh,Bangladesh,224.79999999999998,A,False,Kamal
2,PH1003,Tania Bhuiyan,77.5,75.8,90.6,In Progress,2024-01-25,Mr. Karim,Chattogram,Bangladesh,243.9,A,True,Tania
3,PH1004,Sajid Hasan,89.7,84.5,,In Progress,2024-06-28,Ms. Rina,Chattogram,Bangladesh,,A,True,Sajid
4,PH1005,Quamrul Sarkar,89.0,66.6,72.7,Completed,2024-11-20,Mr. Karim,Rajshahi,Bangladesh,228.3,A,True,Quamrul
5,PH1006,Tanvir Das,77.1,87.8,88.9,Completed,2024-05-15,Mr. Karim,Sylhet,Bangladesh,253.79999999999998,A,True,Tanvir
6,PH1007,Osman Mimi,96.5,88.4,72.5,Completed,2025-03-15,Mr. Karim,Rajshahi,Bangladesh,257.4,A+,True,Osman
7,PH1008,Kamal Talukder,97.1,94.8,75.7,Completed,2024-07-09,Ms. Rina,Mymensingh,Bangladesh,267.59999999999997,A+,True,Kamal
8,PH1009,Faria Khatun,,,,In Progress,2024-03-08,Mr. Haque,Rangpur,Bangladesh,,A,False,Faria
9,PH1010,Rezaul Khan,66.6,68.7,86.3,Completed,2025-03-17,Ms. Rina,Chattogram,Bangladesh,221.60000000000002,A,False,Rezaul
10,PH1011,Fahmida Das,,,,Not Started,2024-10-15,Mr. Karim,Chattogram,Bangladesh,,A,False,Fahmida
11,PH1012,Gitika Bhuiyan,70.4,65.1,89.6,Completed,2024-11-11,Mr. Haque,Sylhet,Bangladesh,225.1,A,True,Gitika
12,PH1013,Masud Hasan,90.9,83.3,91.5,Completed,2024-11-10,Mr. Karim,Barishal,Bangladesh,265.7,A+,True,Masud
13,PH1014,Liton Akhter,73.2,84.3,67.7,Completed,2024-02-12,Mr. Karim,Sylhet,Bangladesh,225.2,A,True,Liton
14,PH1015,Afsana Hawlader,85.6,97.8,96.6,Completed,2024-09-06,Ms. Salma,Khulna,Bangladesh,280.0,A,True,Afsana
15,PH1016,Sinthia Nath,72.6,76.5,85.0,Completed,2025-08-17,Ms. Salma,Dhaka,Bangladesh,234.1,A,True,Sinthia
16,PH1017,Priya Ferdous,83.9,77.5,,In Progress,2024-04-03,Ms. Rina,Rajshahi,Bangladesh,,A,True,Priya
17,PH1018,Tahmina Faruq,81.1,78.8,68.2,Completed,2025-12-19,Mr. David,Rangpur,Bangladesh,228.09999999999997,A,True,Tahmina
18,PH1019,Golam Majumder,89.8,92.2,68.7,Completed,2024-12-02,Mr. Haque,Mymensingh,Bangladesh,250.7,A,True,Golam
19,PH1020,Babul Saha,96.4,80.1,94.3,Completed,2025-03-09,Mr. Karim,Dhaka,Bangladesh,270.8,A+,True,Babul
20,PH1021,Sadia Mimi,94.4,95.7,,Completed,2025-03-14,Ms. Rina,Khulna,Bangladesh,,A+,True,Sadia
21,PH1022,Jahangir Sarkar,75.1,97.9,84.7,Completed,2025-07-23,Mr. David,Dhaka,Bangladesh,257.7,A,True,Jahangir
22,PH1023,Mahmudul Hawlader,82.3,93.9,67.3,Completed,2024-09-28,Ms. Salma,Rangpur,Bangladesh,243.5,A,True,Mahmudul
23,PH1024,Ziaur Mimi,,,,In Progress,2024-10-20,Mr. Haque,Barishal,Bangladesh,,A,False,Ziaur
24,PH1025,Dilara Akter,78.5,87.8,75.2,Completed,2024-11-23,Mr. Karim,Dhaka,Bangladesh,241.5,A,True,Dilara
25,PH1026,Jahangir Hasan,69.5,76.9,67.3,Completed,2024-02-18,Mr. David,Sylhet,Bangladesh,213.7,A,False,Jahangir
26,PH1027,Ismail Mondal,95.2,72.8,93.7,In Progress,2024-10-26,Mr. David,Chattogram,Bangladesh,261.7,A+,True,Ismail
27,PH1028,Urmi Sharma,,,88.6,In Progress,2024-05-10,Mr. David,Mymensingh,Bangladesh,,A,False,Urmi
28,PH1029,Rasel Ferdous,70.1,90.8,,In Progress,2025-02-21,Mr. David,Sylhet,Bangladesh,,A,True,Rasel
29,PH1030,Nurul Barua,68.8,97.1,88.5,Completed,2025-09-23,Mr. Karim,Barishal,Bangladesh,254.39999999999998,A,False,Nurul
30,PH1031,Sumon Sharma,95.6,92.1,94.3,Completed,2024-07-05,Ms. Salma,Rajshahi,Bangladesh,282.0,A+,True,Sumon
31,PH1032,Eshita Hasan,,,,Not Started,2025-06-25,Ms. Salma,Rajshahi,Bangladesh,,A,False,Eshita
32,PH1033,Mehedi Chowdhury,91.1,81.1,88.1,In Progress,2024-07-01,Ms. Salma,Khulna,Bangladesh,260.29999999999995,A+,True,Mehedi
33,PH1034,Mehedi Hasan,,,75.4,In Progress,2024-07-28,Ms. Rina,Barishal,Bangladesh,,A,False,Mehedi
34,PH1035,Munira Khan,74.5,67.4,91.3,Completed,2024-04-01,Mr. Haque,Rangpur,Bangladesh,233.2,A,True,Munira
35,PH1036,Firoz Biswas,97.7,74.0,68.7,Completed,2024-01-04,Mr. David,Rangpur,Bangladesh,240.39999999999998,A+,True,Firoz
36,PH1037,Wahida Islam,89.1,65.1,96.5,Completed,2024-07-19,Ms. Salma,Barishal,Bangladesh,250.7,A,True,Wahida
