StudentID,FullName,Data Structure Marks,Algorithm Marks,Python Marks,CompletionStatus,EnrollmentDate,Instructor,Location
PH1001,Amena Islam,69.7,68.5,90.2,Completed,2024-01-24,Mr. Haque,Rangpur
PH1002,Kamal Akhter,65.9,71.8,87.1,Completed,2024-02-07,Ms. Salma,Mymensingh
PH1003,Tania Bhuiyan,77.5,75.8,90.6,In Progress,2024-01-25,Mr. Karim,Chattogram
PH1004,Sajid Hasan,89.7,84.5,,In Progress,2024-06-28,Ms. Rina,Chattogram
PH1005,Quamrul Sarkar,89.0,66.6,72.7,Completed,2024-11-20,Mr. Karim,Rajshahi
PH1006,Tanvir Das,77.1,87.8,88.9,Completed,2024-05-15,Mr. Karim,Sylhet
PH1007,Osman Mimi,96.5,88.4,72.5,Completed,2025-03-15,Mr. Karim,Rajshahi
PH1008,Kamal Talukder,97.1,94.8,75.7,Completed,2024-07-09,Ms. Rina,Mymensingh
PH1009,Faria Khatun,,,,In Progress,2024-03-08,Mr. Haque,Rangpur
PH1010,Rezaul Khan,66.6,68.7,86.3,Completed,2025-03-17,Ms. Rina,Chattogram
PH1011,Fahmida Das,,,,Not Started,2024-10-15,Mr. Karim,Chattogram
PH1012,Gitika Bhuiyan,70.4,65.1,89.6,Completed,2024-11-11,Mr. Haque,Sylhet
PH1013,Masud Hasan,90.9,83.3,91.5,Completed,2024-11-10,Mr. Karim,Barishal
PH1014,Liton Akhter,73.2,84.3,67.7,Completed,2024-02-12,Mr. Karim,Sylhet
PH1015,Afsana Hawlader,85.6,97.8,96.6,Completed,2024-09-06,Ms. Salma,Khulna
PH1016,Sinthia Nath,72.6,76.5,85.0,Completed,2025-08-17,Ms. Salma,Dhaka
PH1017,Priya Ferdous,83.9,77.5,,In Progress,2024-04-03,Ms. Rina,Rajshahi
PH1018,Tahmina Faruq,81.1,78.8,68.2,Completed,2025-12-19,Mr. David,Rangpur
PH1019,Golam Majumder,89.8,92.2,68.7,Completed,2024-12-02,Mr. Haque,Mymensingh
PH1020,Babul Saha,96.4,80.1,94.3,Completed,2025-03-09,Mr. Karim,Dhaka
PH1021,Sadia Mimi,94.4,95.7,,Completed,2025-03-14,Ms. Rina,Khulna
PH1022,Jahangir Sarkar,75.1,97.9,84.7,Completed,2025-07-23,Mr. David,Dhaka
PH1023,Mahmudul Hawlader,82.3,93.9,67.3,Completed,2024-09-28,Ms. Salma,Rangpur
PH1024,Ziaur Mimi,,,,In Progress,2024-10-20,Mr. Haque,Barishal
PH1025,Dilara Akter,78.5,87.8,75.2,Completed,2024-11-23,Mr. Karim,Dhaka
PH1026,Jahangir Hasan,69.5,76.9,67.3,Completed,2024-02-18,Mr. David,Sylhet
PH1027,Ismail Mondal,95.2,72.8,93.7,In Progress,2024-10-26,Mr. David,Chattogram
PH1028,Urmi Sharma,,,88.6,In Progress,2024-05-10,Mr. David,Mymensingh
PH1029,Rasel Ferdous,70.1,90.8,,In Progress,2025-02-21,Mr. David,Sylhet
PH1030,Nurul Barua,68.8,97.1,88.5,Completed,2025-09-23,Mr. Karim,Barishal
PH1031,Sumon Sharma,95.6,92.1,94.3,Completed,2024-07-05,Ms. Salma,Rajshahi
PH1032,Eshita Hasan,,,,Not Started,2025-06-25,Ms. Salma,Rajshahi
PH1033,Mehedi Chowdhury,91.1,81.1,88.1,In Progress,2024-07-01,Ms. Salma,Khulna
PH1034,Mehedi Hasan,,,75.4,In Progress,2024-07-28,Ms. Rina,Barishal
PH1035,Munira Khan,74.5,67.4,91.3,Completed,2024-04-01,Mr. Haque,Rangpur
PH1036,Firoz Biswas,97.7,74.0,68.7,Completed,2024-01-04,Mr. David,Rangpur
PH1037,Wahida Islam,89.1,65.1,96.5,Completed,2024-07-19,Ms. Salma,Barishal
PH1038,Maliha Uddin,89.4,78.1,,In Progress,2024-11-11,Mr. David,Rangpur
PH1039,Roksana Paul,87.6,77.9,90.4,Completed,2024-12-10,Mr. Haque,Khulna
PH1040,Sinthia Rahman,84.7,87.3,80.8,Completed,2024-05-10,Ms. Salma,Mymensingh
PH1041,Nurul Sheikh,86.5,76.4,92.8,Completed,2024-11-03,Mr. David,Rajshahi
PH1042,Taslima Sharma,,,,Not Started,2024-01-02,Mr. Haque,Chattogram
PH1043,Jahangir Dey,,,,In Progress,2024-11-19,Ms. Rina,Rangpur
PH1044,Nusrat Sharma,,,,Not Started,2024-11-23,Mr. Karim,Rangpur
PH1045,Sakib Chowdhury,73.5,93.8,80.5,Completed,2025-12-17,Mr. Haque,Barishal
PH1046,Parveen Barua,,,,In Progress,2025-10-27,Ms. Salma,Mymensingh
PH1047,Sufia Khatun,,,,In Progress,2024-04-27,Ms. Salma,Khulna
PH1048,Ismail Uddin,75.9,83.4,69.7,Completed,2024-12-10,Ms. Salma,Rajshahi
PH1049,Omar Dey,72.0,79.3,95.8,Completed,2025-07-11,Mr. Karim,Rangpur
PH1050,Ayesha Rahman,,,,In Progress,2025-06-10,Mr. Haque,Rajshahi
PH1051,Liton Khan,76.4,88.1,78.7,Completed,2025-05-14,Ms. Rina,Sylhet
PH1052,Yasmeen Akhter,79.6,94.5,71.2,Completed,2024-07-19,Mr. David,Rajshahi
PH1053,Jahangir Talukder,97.3,79.3,93.4,Completed,2025-06-25,Mr. Haque,Dhaka
PH1054,Anisur Khan,,,75.4,In Progress,2024-11-03,Mr. Karim,Sylhet
PH1055,Abir Faruq,72.4,88.8,91.1,Completed,2024-08-22,Mr. Haque,Chattogram
PH1056,Samira Sheikh,,,,Not Started,2024-05-04,Mr. Haque,Rangpur
PH1057,Enamul Ahmed,91.3,93.9,85.4,Completed,2024-02-19,Mr. Haque,Dhaka
PH1058,Anisur Saha,76.6,93.9,93.0,Completed,2024-11-12,Mr. David,Mymensingh
PH1059,Junaid Sharma,,,,In Progress,2024-07-06,Ms. Rina,Rangpur
PH1060,Minara Bhuiyan,77.5,82.2,,In Progress,2024-06-28,Ms. Rina,Rangpur
PH1061,Shamima Akhter,72.2,92.1,76.6,Completed,2024-08-28,Mr. David,Dhaka
PH1062,Nazmul Ahmed,90.8,88.5,87.0,Completed,2025-02-08,Mr. Karim,Chattogram
PH1063,Yasmin Khan,84.8,81.1,83.1,Completed,2024-07-23,Mr. Haque,Barishal
PH1064,Parvin Majumder,89.5,75.7,90.3,Completed,2024-05-10,Ms. Salma,Rajshahi
PH1065,Moriam Hawlader,,,,Not Started,2024-05-24,Ms. Salma,Khulna
PH1066,Lutfun Nath,,,77.4,In Progress,2024-03-10,Mr. Karim,Khulna
PH1067,Iffat Faruq,65.4,74.7,81.3,Completed,2025-11-28,Mr. Karim,Khulna
PH1068,Ayesha Islam,86.4,66.8,70.1,Completed,2025-02-13,Mr. David,Chattogram
PH1069,Nusrat Islam,,,90.9,In Progress,2025-09-25,Ms. Rina,Mymensingh
PH1070,Tania Saha,95.6,75.6,,In Progress,2024-05-19,Ms. Salma,Khulna
PH1071,Dulal Begum,70.3,78.9,88.4,Completed,2024-03-08,Mr. Karim,Rajshahi
PH1072,Touhid Sarkar,72.9,74.0,91.9,Completed,2025-12-28,Ms. Salma,Rangpur
PH1073,Wahiduzzaman Khan,71.6,91.4,,In Progress,2024-11-05,Mr. Haque,Khulna
PH1074,Ismail Islam,83.5,83.3,72.2,In Progress,2024-08-23,Mr. Karim,Rangpur
PH1075,Nurul Talukder,97.7,93.4,84.6,Completed,2024-10-09,Mr. David,Dhaka
PH1076,Quazi Chowdhury,,,,Not Started,2025-08-17,Ms. Salma,Rangpur
PH1077,Amena Mridha,75.9,68.6,70.5,Completed,2024-02-16,Ms. Rina,Khulna
PH1078,Dulal Paul,73.6,68.9,91.3,Completed,2025-09-02,Mr. Karim,Mymensingh
PH1079,Golam Ferdous,,,,In Progress,2024-04-17,Ms. Rina,Dhaka
PH1080,Hasan Bhuiyan,88.7,69.1,98.1,Completed,2024-09-05,Ms. Salma,Sylhet
PH1081,Munira Rahman,93.6,68.9,97.2,Completed,2024-09-14,Ms. Salma,Mymensingh
